id,track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name,duration_mins,genre
618,7d3NPfKm6yduK0XqVCQLKa,Ram,77UOS3mEkG3BpnpUGmqLe5,Number9ok,5pASdV6TlKOfgfuSBAEFCJ,154687,25/10/2019,30,0.602,0.361,5,-6.059,1,0.126,0.299,0,0.149,0.0396,130.505,7d3NPfKm6yduK0XqVCQLKa,7d3NPfKm6yduK0XqVCQLKa,2.578116667,TIKTOK DANCE
619,3YgeIbA0dOVSOClZKUUxzz,Good Morning,78GdFYPETzCgutsc5O5COH,Mak Sauce,7DY8cMvGZOqhuKc5bBoaQM,155733,21/02/2020,49,0.883,0.584,11,-7.463,1,0.471,0.05,0,0.0679,0.798,148.059,3YgeIbA0dOVSOClZKUUxzz,3YgeIbA0dOVSOClZKUUxzz,2.59555,TIKTOK DANCE
620,0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,2P4n4HSzB7ZHocIaIp96bD,150115,18/10/2019,75,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,0Q2n5yzl2XRqYbV77tZNYp,2.501916667,TIKTOK DANCE
621,0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,2P4n4HSzB7ZHocIaIp96bD,150115,18/10/2019,75,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,0Q2n5yzl2XRqYbV77tZNYp,2.501916667,TIKTOK DANCE
622,0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,2P4n4HSzB7ZHocIaIp96bD,150115,18/10/2019,75,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,0Q2n5yzl2XRqYbV77tZNYp,2.501916667,TIKTOK DANCE
623,0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,2P4n4HSzB7ZHocIaIp96bD,150115,18/10/2019,75,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,0Q2n5yzl2XRqYbV77tZNYp,2.501916667,TIKTOK DANCE
624,0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,2P4n4HSzB7ZHocIaIp96bD,150115,18/10/2019,75,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,0Q2n5yzl2XRqYbV77tZNYp,2.501916667,TIKTOK DANCE
625,0Q2n5yzl2XRqYbV77tZNYp,GOODMORNINGTOKYO!,5TbLOwv8BNnik3f03NZJlt,TOKYO’S REVENGE,2P4n4HSzB7ZHocIaIp96bD,150115,18/10/2019,75,0.907,0.539,4,-7.782,1,0.36,0.0408,0,0.253,0.664,124.918,0Q2n5yzl2XRqYbV77tZNYp,0Q2n5yzl2XRqYbV77tZNYp,2.501916667,TIKTOK DANCE
626,3CwcGdFwFF3DfHGGppdI4X,Muwop (feat. Gucci Mane),3MdXrJWsbVzdn6fe5JYkSQ,Latto,0CAsNp9Nwk4oC74oYoxntr,200135,30/07/2020,62,0.79,0.61,9,-6.958,0,0.102,0.0613,0,0.243,0.62,145.88,3CwcGdFwFF3DfHGGppdI4X,3CwcGdFwFF3DfHGGppdI4X,3.335583333,TIKTOK DANCE
627,3sHClt8nhqPcLRnAnLmvEm,Ya Digg,2Bb57H1EnnHxtpSyOAJF8l,Frostydasnowmann,7jA2ECBsMN6hVcB76xoWLv,173674,20/01/2017,2,0.788,0.43,10,-14.682,0,0.282,0.0372,0,0.111,0.257,100.014,3sHClt8nhqPcLRnAnLmvEm,3sHClt8nhqPcLRnAnLmvEm,2.894566667,TIKTOK DANCE
628,1N5fKC1qRLHjsdNy39DPF6,Donk,18KWQQ7tKsUW9akG4QbUDj,Pronto Spazzout,2i7TicIcL6EuIpQsmAqgD0,125257,06/03/2020,30,0.879,0.591,11,-9.335,0,0.355,0.0452,0,0.0697,0.825,91.928,1N5fKC1qRLHjsdNy39DPF6,1N5fKC1qRLHjsdNy39DPF6,2.087616667,TIKTOK DANCE
629,4IOYk6epkzXT38U4ShauZ6,Kolors,4p75GTNEXwsAAkpweMVtKo,Monte Booker,6bzDf8hYZbCuwjLoEPRvtE,177855,29/06/2016,63,0.718,0.403,2,-11.064,0,0.205,0.263,1.56E-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,4IOYk6epkzXT38U4ShauZ6,2.96425,TIKTOK DANCE
630,4IOYk6epkzXT38U4ShauZ6,Kolors,4p75GTNEXwsAAkpweMVtKo,Monte Booker,6bzDf8hYZbCuwjLoEPRvtE,177855,29/06/2016,63,0.718,0.403,2,-11.064,0,0.205,0.263,1.56E-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,4IOYk6epkzXT38U4ShauZ6,2.96425,TIKTOK DANCE
631,4IOYk6epkzXT38U4ShauZ6,Kolors,4p75GTNEXwsAAkpweMVtKo,Monte Booker,6bzDf8hYZbCuwjLoEPRvtE,177855,29/06/2016,63,0.718,0.403,2,-11.064,0,0.205,0.263,1.56E-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,4IOYk6epkzXT38U4ShauZ6,2.96425,TIKTOK DANCE
632,4IOYk6epkzXT38U4ShauZ6,Kolors,4p75GTNEXwsAAkpweMVtKo,Monte Booker,6bzDf8hYZbCuwjLoEPRvtE,177855,29/06/2016,63,0.718,0.403,2,-11.064,0,0.205,0.263,1.56E-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,4IOYk6epkzXT38U4ShauZ6,2.96425,TIKTOK DANCE
633,4IOYk6epkzXT38U4ShauZ6,Kolors,4p75GTNEXwsAAkpweMVtKo,Monte Booker,6bzDf8hYZbCuwjLoEPRvtE,177855,29/06/2016,63,0.718,0.403,2,-11.064,0,0.205,0.263,1.56E-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,4IOYk6epkzXT38U4ShauZ6,2.96425,TIKTOK DANCE
634,4IOYk6epkzXT38U4ShauZ6,Kolors,4p75GTNEXwsAAkpweMVtKo,Monte Booker,6bzDf8hYZbCuwjLoEPRvtE,177855,29/06/2016,63,0.718,0.403,2,-11.064,0,0.205,0.263,1.56E-06,0.228,0.636,129.582,4IOYk6epkzXT38U4ShauZ6,4IOYk6epkzXT38U4ShauZ6,2.96425,TIKTOK DANCE
635,4yzCXVdOKzt87w4bRItgNx,Hugh Hefner,2u1aL8XADqj0nJFHMKRjNw,ppcocaine,51jAktjuK25NEcs4VG74gX,142074,11/09/2020,62,0.94,0.74,11,-7.849,1,0.171,0.00652,1.01E-05,0.0947,0.702,136.038,4yzCXVdOKzt87w4bRItgNx,4yzCXVdOKzt87w4bRItgNx,2.3679,TIKTOK DANCE
636,3rk6UjlhEMa0zwiGyb96sq,Pow,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,5XCiRbiuzkHHII4QLu8dUV,216530,24/04/2014,0,0.914,0.562,7,-10.079,1,0.435,0.221,1.67E-05,0.12,0.552,143.944,3rk6UjlhEMa0zwiGyb96sq,3rk6UjlhEMa0zwiGyb96sq,3.608833333,TIKTOK DANCE
637,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
638,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
639,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
640,4Hpib09wXgD84w4uwTPnYD,Tap In,6cK3NBO6uP7hh0oyuVELFl,Saweetie,3XpOIE22NDEl5VSguQGv2h,139413,17/06/2020,76,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,4Hpib09wXgD84w4uwTPnYD,4Hpib09wXgD84w4uwTPnYD,2.32355,TIKTOK DANCE
